disease_name,precautions,doctor_name,specialty,hospital,wiki_pageid,wiki_img
Jaundice,"Drink plenty of water,Avoid fatty foods,Rest adequately,Avoid alcohol,Eat balanced meals",Dr. Harshvardhan K. Shukla,Hepatology,Max Super Specialty Hospital,65980,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Jaundice08.jpg/300px-Jaundice08.jpg
Malaria,"Avoid mosquito bites,Use mosquito repellent,Stay indoors at dusk,Drink water,Rest adequately",Dr. Vikas Bansal,Infectious Diseases,Manipal Hospital,20423,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Malaria_Parasite_Connecting_to_Human_Red_Blood_Cell_%2834034143483%29.jpg/300px-Malaria_Parasite_Connecting_to_Human_Red_Blood_Cell_%2834034143483%29.jpg
Chicken pox,"Isolate to avoid spreading, Avoid scratching,Stay away from others,Keep skin clean,Stay hydrated,Rest adequately",Dr. Sumit Singla,Pediatrics,AIIMS,18821046,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Varicela_Aranzales.jpg/300px-Varicela_Aranzales.jpg
Dengue,"Use mosquito repellent,Stay indoors,Drink water,Take paracetamol,Avoid aspirin",Dr. Manish Gupta,Pediatrics,Max Super Specialty Hospital,39669,https://upload.wikimedia.org/wikipedia/commons/9/91/Denguerash.JPG
Typhoid,"Drink clean and safe water,Avoid raw foods,Rest adequately,Maintain hygiene,Eat small meals",Dr. Suman Bansal,Pediatrics,Fortis Hospital,31596,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/SalmonellaTyphiFlagellarStain.jpg/300px-SalmonellaTyphiFlagellarStain.jpg
Hepatitis A,"Get plenty of rest,Avoid fatty foods,Drink water,Maintain hygiene,Avoid alcohol",Dr. Suresh Kumar,Hepatology,Apollo Hospital,344536,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Jaundice_eye.jpg/300px-Jaundice_eye.jpg
Hepatitis B,"Avoid contact with blood,Practice safe sex,Rest adequately,Drink water,Avoid alcohol",Dr. Vikram V. Ghosh,Hepatology,Max Super Specialty Hospital,15925628,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Hepatitis-B_virions.jpg/300px-Hepatitis-B_virions.jpg
Hepatitis C,"Avoid alcohol consumption,Rest adequately,Drink water,Maintain hygiene,Do not share needles",Dr. S. K. Sharma,Hepatology,AIIMS,71491,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/HCV_EM_picture_2.png/300px-HCV_EM_picture_2.png
Hepatitis D,"Drink water to prevent dehydration,Rest adequately,Avoid alcohol,Maintain hygiene,Eat balanced meals",Dr. Harshvardhan K. Shukla,Hepatology,Max Super Specialty Hospital,214294,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Hepatitis-d-virion-Pathogens-04-00046-g001-1024.png/300px-Hepatitis-d-virion-Pathogens-04-00046-g001-1024.png
Hepatitis E,"Drink clean water,Rest adequately,Avoid fatty foods,Maintain hygiene,Avoid alcohol",Dr. Rakesh Gupta,Hepatology,Apollo Hospital,411018,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Hepatitis_E_virus.jpg/300px-Hepatitis_E_virus.jpg
Alcoholic hepatitis,"Stop alcohol consumption,Drink water,Rest adequately,Eat balanced meals,Monitor symptoms",Dr. P. K. Sharma,Hepatology,Fortis Hospital,644078,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Mallory_body_high_mag_cropped.jpg/300px-Mallory_body_high_mag_cropped.jpg
Tuberculosis,"Wear a mask to prevent spreading,Isolate from others,Rest adequately,Stay hydrated,Cover mouth when coughing",Dr. Anil Dhingra,Pulmonology,Max Super Specialty Hospital,30653,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Tuberculosis-x-ray-1.jpg/300px-Tuberculosis-x-ray-1.jpg
Common Cold,"Wash hands frequently,Rest adequately,Drink warm fluids,Avoid cold foods,Use tissues",Dr. Rakesh Khanna,Pulmonology,BLK Super Specialty Hospital,92693,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Rhinovirus_isosurface.png/300px-Rhinovirus_isosurface.png
Pneumonia,"Drink warm fluids,Rest adequately,Use humidifier,Take deep breaths,Elevate head while sleeping",Dr. Sudhir Gupta,Pulmonology,Fortis Hospital,52135,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Chest_radiograph_in_influensa_and_H_influenzae%2C_posteroanterior%2C_annotated.jpg/300px-Chest_radiograph_in_influensa_and_H_influenzae%2C_posteroanterior%2C_annotated.jpg
Dimorphic hemorrhoids(piles),"Eat a fiber-rich diet,Eat high-fiber foods,Stay hydrated,Avoid straining,Take warm baths,Avoid prolonged sitting",Dr. Praveen Sharma,General Surgery,Apollo Hospital,173652,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Internal_and_external_hemorrhoids.png/300px-Internal_and_external_hemorrhoids.png
Heart attack,"Call emergency services,Chew aspirin,Sit down and rest,Loosen tight clothing,Stay calm",Dr. Aniruddha Choudhary,Cardiology,Apollo Hospital,20556798,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Blausen_0463_HeartAttack.png/300px-Blausen_0463_HeartAttack.png
Varicose veins,"Elevate legs to reduce swelling,Avoid standing long,Exercise legs,Use compression stockings,Stay hydrated",Dr. Rajesh Kumar,General Surgery,Max Super Specialty Hospital,32834,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Leg_Before_1.jpg/300px-Leg_Before_1.jpg
Hypothyroidism,"Keep warm to avoid discomfort,Rest adequately,Eat balanced meals,Stay hydrated,Take iodine-rich foods",Dr. Surya Prakash,Endocrinology,Apollo Hospital,65845,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Thyroxine-2D-skeletal.png/300px-Thyroxine-2D-skeletal.png
Hyperthyroidism,"Rest adequately,Avoid caffeine,Stay hydrated,Practice relaxation techniques,Avoid spicy foods",Dr. Neeraj Kumar,Endocrinology,Max Super Specialty Hospital,13492,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Triiodothyronine.svg/300px-Triiodothyronine.svg.png
Hypoglycemia,"Consume sugar immediately,Avoid skipping meals,Rest adequately,Monitor symptoms,Stay hydrated",Dr. P.K. Dutta,Endocrinology,Fortis Hospital,13315,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Hypoglycemia.jpg/300px-Hypoglycemia.jpg
Osteoarthritis,"Rest the affected joint,Apply cold/heat,Elevate affected joint,Avoid overuse,Take pain reliever",Dr. Rakesh Gupta,Orthopedics,Fortis Hospital,504841,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Heberden-Arthrose.JPG/300px-Heberden-Arthrose.JPG
Arthritis,"Rest the affected joint,Apply cold/heat,Avoid overuse,Elevate joint,Take pain reliever",Dr. Praveen Sharma,Orthopedics,Apollo Hospital,1776,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Rheumatoid_Arthritis.JPG/300px-Rheumatoid_Arthritis.JPG
Vertigo (Paroxysmal Positional Vertigo),"Sit or lie down to prevent falls,Avoid sudden movements,Stay hydrated,Focus on stationary object,Rest adequately",Dr. Sandeep Vaishya,Neurology,Fortis Hospital,2614714,https://upload.wikimedia.org/wikipedia/commons/b/b6/Optokinetic_nystagmus.gif
Acne,"Maintain facial cleanliness,Wash face twice daily,Avoid picking pimples,Use non-comedogenic products,Stay hydrated,Avoid oily foods",Dr. Nitin Goyal,Dermatology,Fortis Hospital,74555,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Acne_vulgaris_on_a_very_oily_skin.jpg/300px-Acne_vulgaris_on_a_very_oily_skin.jpg
Urinary tract infection,"Drink plenty of water,Avoid caffeine,Avoid spicy foods,Empty bladder often,Take cranberry juice",Dr. Anil Dhingra,Urology,Max Super Specialty Hospital,32161,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Pyuria.JPG/300px-Pyuria.JPG
Psoriasis,"Moisturize to avoid dryness,Apply moisturizer,Avoid hot showers,Wear loose clothing,Stay hydrated,Avoid scratching",Dr. Ashok Kumar,Dermatology,Apollo Hospital,101965,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Psoriasis_on_back1.jpg/300px-Psoriasis_on_back1.jpg
Impetigo,"Wash affected area to prevent infection,Keep nails short,Avoid scratching,Avoid contact with others,Use clean towel",Dr. S. S. Ghosh,Dermatology,Max Super Specialty Hospital,92399,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Impetigo2020.jpg/300px-Impetigo2020.jpg
