disease,precautions,doctor_info,image_link,wiki_pageid
Chicken pox,"Isolate to avoid spreading, Avoid scratching,Stay away from others,Keep skin clean,Stay hydrated,Rest adequately","Dr. Sumit Singla,Pediatrics,AIIMS",https://th.bing.com/th/id/R.6abf831145fc175c22160dccae06200a?rik=5DD8JAY2HnvzhA&riu=http%3a%2f%2fhardinmd.lib.uiowa.edu%2fpictures22%2fdermnet%2fvaricella_2.jpg&ehk=gEjaC9DjuSBEzc83zqznw5CQZtIrrb6I0601ykMbU6k%3d&risl=&pid=ImgRaw&r=0,18821046
Dengue,"Use mosquito repellent,Use mosquito repellent,Stay indoors,Drink water,Take paracetamol,Avoid aspirin","Dr. Manish Gupta,Pediatrics,Max Super Specialty Hospital",https://th.bing.com/th/id/OIP.MNHMn1z1ADxjQVmfl_NPUQHaE8?rs=1&pid=ImgDetMain,39669
Typhoid,"Drink clean and safe water,Drink clean water,Avoid raw foods,Rest adequately,Maintain hygiene,Eat small meals","Dr. Suman Bansal,Pediatrics,Fortis Hospital","https://www.verywellhealth.com/thmb/6k_ianqqFWuefdCCymAziXGxCw4=/2000x1500/filters:fill(87E3EF,1)/GettyImages-487736447-efdaeba6e7674c24852e89ccf0b5df08.jpg",31596
Hepatitis A,"Get plenty of rest,Rest adequately,Avoid fatty foods,Drink water,Maintain hygiene,Avoid alcohol","Dr. Suresh Kumar,Hepatology,Apollo Hospital",https://nypost.com/wp-content/uploads/sites/2/2022/05/hepatitis-A-strawberry-15.jpg?w=1024,344536
Hepatitis B,"Avoid contact with blood, Avoid contact with blood,Practice safe sex,Rest adequately,Drink water,Avoid alcohol","Dr. Vikram V. Ghosh,Hepatology,Max Super Specialty Hospital",https://i1.wp.com/dailytrust.com/wp-content/uploads/2020/07/hepatitis.jpeg?w=600,15925628
Hepatitis C,"Avoid alcohol consumption, Avoid alcohol,Rest adequately,Drink water,Maintain hygiene,Do not share needles","Dr. S. K. Sharma,Hepatology,AIIMS",https://i.ytimg.com/vi/gxhaENQD3YQ/hqdefault.jpg,71491
Hepatitis D,"Drink water to prevent dehydration,Drink water,Rest adequately,Avoid alcohol,Maintain hygiene,Eat balanced meals","Dr. Harshvardhan K. Shukla,Hepatology,Max Super Specialty Hospital",https://doktersehat.com/wp-content/uploads/2019/07/hepatitis-d-doktersehat-768x512.jpeg,214294
Hepatitis E,"Practice good hygiene,Drink clean water,Rest adequately,Avoid fatty foods,Maintain hygiene,Avoid alcohol","Dr. Rakesh Gupta,Hepatology,Apollo Hospital",https://image.shutterstock.com/image-illustration/hepatitis-e-viral-infection-3d-260nw-1121262398.jpg,411018
Alcoholic hepatitis,"Stop alcohol consumption,Avoid alcohol,Drink water,Rest adequately,Eat balanced meals,Monitor symptoms","Dr. P. K. Sharma,Hepatology,Fortis Hospital",https://cdn-prod.medicalnewstoday.com/content/images/articles/313/313928/hepatitis-is-a-liver-disease.jpg,644078
Tuberculosis,"Wear a mask to prevent spreading,Isolate from others,Wear mask,Rest adequately,Stay hydrated,Cover mouth when coughing","Dr. Anil Dhingra,Pulmonology,Max Super Specialty Hospital",https://apollohealthlib.blob.core.windows.net/health-library/2021/07/Treat-Tuberculosis-at-Home-scaled.jpg,30653
Common Cold,"Wash hands frequently,Wash hands frequently,Rest adequately,Drink warm fluids,Avoid cold foods,Use tissues","Dr. Rakesh Khanna,Pulmonology,BLK Super Specialty Hospital",https://thechildrensclinicms.com/wp-content/uploads/common-cold.jpg,92693
Pneumonia,"Drink warm fluids,Drink warm fluids,Rest adequately,Use humidifier,Take deep breaths,Elevate head while sleeping","Dr. Sudhir Gupta,Pulmonology,Fortis Hospital",https://www.svhlunghealth.com.au/Images/UserUploadedImages/3447/4_SVH_Lung_Health_Pneumonia_final_1080p.jpg,52135
Dimorphic hemorrhoids (piles),"Eat a fiber-rich diet,Eat high-fiber foods,Stay hydrated,Avoid straining,Take warm baths,Avoid prolonged sitting","Dr. Praveen Sharma,General Surgery,Apollo Hospital",https://th.bing.com/th/id/OIP.BDLTydsh-GkB4YNmDXiTyQHaEr?rs=1&pid=ImgDetMain,173652
Heart attack,"Call emergency services immediately,Call emergency services,Chew aspirin,Sit down and rest,Loosen tight clothing,Stay calm","Dr. Aniruddha Choudhary,Cardiology,Apollo Hospital",https://th.bing.com/th/id/OIP.xCxOKFp_KrwjwMEieYFdMQHaDS?rs=1&pid=ImgDetMain,20556798
Varicose veins,"Elevate legs to reduce swelling,Elevate legs,Avoid standing long,Exercise legs,Use compression stockings,Stay hydrated","Dr. Rajesh Kumar,General Surgery,Max Super Specialty Hospital",https://th.bing.com/th/id/OIP.iEu3Weshn_KmwND4nHeaQwHaHK?rs=1&pid=ImgDetMain,32834
Hypothyroidism,"Keep warm to avoid discomfort,Keep warm,Rest adequately,Eat balanced meals,Stay hydrated,Take iodine-rich foods","Dr. Surya Prakash,Endocrinology,Apollo Hospital",https://cdn.slidesharecdn.com/ss_thumbnails/medicalsurgical-190324024626-thumbnail.jpg?width=640&height=640&fit=bounds,65845
Hyperthyroidism,"Rest adequately,Rest adequately,Avoid caffeine,Stay hydrated,Practice relaxation techniques,Avoid spicy foods","Dr. Neeraj Kumar,Endocrinology,Max Super Specialty Hospital",https://th.bing.com/th/id/OIP.lVL861MK-4Yd389E-Wcp8gHaEK?rs=1&pid=ImgDetMain,13492
Hypoglycemia,"Consume sugar immediately,Consume sugar immediately,Avoid skipping meals,Rest adequately,Monitor symptoms,Stay hydrated","Dr. P.K. Dutta,Endocrinology,Fortis Hospital",https://th.bing.com/th?id=OCII.12C6A696FA28135D0D28AEAA045AB1E65BB71F4C3A3A4636EE1F9D7CE644586B&w=612&p=0,13315
Osteoarthritis,"Rest the affected joint,Rest the joint,Apply cold/heat,Elevate affected joint,Avoid overuse,Take pain reliever","Dr. Rakesh Gupta,Orthopedics,Fortis Hospital",https://www.aafp.org/content/dam/brand/aafp/pubs/afp/issues/2012/0101/p49-f1.jpg,504841
Arthritis,"Rest the affected joint,Rest the joint,Apply cold/heat,Avoid overuse,Elevate joint,Take pain reliever","Dr. Praveen Sharma,Orthopedics,Apollo Hospital",https://cdn-prod.medicalnewstoday.com/content/images/hero/323/323018/323018_1100.jpg,1776
Vertigo (Paroxysmal Positional Vertigo),"Sit or lie down to prevent falls,Sit or lie down,Avoid sudden movements,Stay hydrated,Focus on stationary object,Rest adequately","Dr. Sandeep Vaishya,Neurology,Fortis Hospital",https://media-ms.newlifeoutlook.com/wp-content/uploads/2014/11/ms-vertigo.jpg,2614714
Acne,"Maintain facial cleanliness,Wash face twice daily,Avoid picking pimples,Use non-comedogenic products,Stay hydrated,Avoid oily foods","Dr. Nitin Goyal,Dermatology,Fortis Hospital",https://th.bing.com/th/id/OIP.ZgXAE3o1hX4jBGgsliD5WAHaFj?rs=1&pid=ImgDetMain,74555
Urinary tract infection,"Drink plenty of water,Drink plenty of water,Avoid caffeine,Avoid spicy foods,Empty bladder often,Take cranberry juice","Dr. Anil Dhingra,Urology,Max Super Specialty Hospital",https://pubmiddleware.mims.com/treatmentguideline/image/urinary%20tract%20infection%20-%20complicated,32161
Psoriasis,"Moisturize to avoid dryness,Apply moisturizer,Avoid hot showers,Wear loose clothing,Stay hydrated,Avoid scratching","Dr. Ashok Kumar,Dermatology,Apollo Hospital",https://dccdn.de/www.doccheck.com/data/ee/tt/hc/kf/br/wk/psoriasis-2_lg.jpg,101965
Impetigo,"Wash affected area to prevent infection,Wash affected area,Keep nails short,Avoid scratching,Avoid contact with others,Use clean towel","Dr. S. S. Ghosh,Dermatology,Max Super Specialty Hospital",https://www.mdbriefcase.com/wp-content/uploads/2023/07/Nonbullous-Impetigo-scaled.jpg,92399
